Feature,Importance,Std
mfcc4_mean,0.07250000000000002,0.019906029237394356
chroma_stft_mean,0.07100000000000002,0.022781571499789016
mfcc9_mean,0.04400000000000004,0.015297058540778369
mfcc8_mean,0.041000000000000036,0.010198039027185577
mfcc7_mean,0.039500000000000035,0.00820060973342837
perceptr_var,0.03500000000000003,0.010000000000000009
mfcc3_mean,0.03500000000000003,0.017320508075688787
mfcc10_var,0.03350000000000003,0.019880895352071062
mfcc18_mean,0.03250000000000003,0.012893796958227639
harmony_var,0.030500000000000027,0.00878919791562348
chroma_stft_var,0.029000000000000026,0.009165151389911688
mfcc7_var,0.027000000000000024,0.015524174696260037
mfcc12_mean,0.026500000000000024,0.014500000000000013
mfcc11_mean,0.026000000000000023,0.017146428199482262
mfcc3_var,0.025500000000000023,0.011056672193748
mfcc6_mean,0.02400000000000002,0.011789826122551608
rms_var,0.02300000000000002,0.006403124237432854
mfcc8_var,0.02100000000000002,0.013928388277184131
mfcc1_mean,0.02100000000000002,0.012806248474865708
zero_crossing_rate_var,0.020500000000000018,0.006500000000000006
zero_crossing_rate_mean,0.020000000000000018,0.011180339887498959
mfcc20_mean,0.019500000000000017,0.011280514172678488
mfcc12_var,0.019000000000000017,0.013928388277184131
mfcc15_mean,0.019000000000000017,0.017146428199482262
mfcc18_var,0.018500000000000016,0.01205197079319396
mfcc2_mean,0.017500000000000016,0.012500000000000013
spectral_centroid_var,0.017500000000000016,0.008732124598286498
spectral_bandwidth_mean,0.017500000000000016,0.008732124598286498
mfcc16_var,0.016500000000000015,0.014500000000000015
mfcc1_var,0.014000000000000012,0.007000000000000007
mfcc16_mean,0.013500000000000012,0.01050000000000001
mfcc17_mean,0.013500000000000012,0.012854960132182453
length,0.013500000000000012,0.005500000000000005
mfcc5_var,0.013500000000000012,0.015173990905493533
rolloff_mean,0.013000000000000012,0.009000000000000008
rolloff_var,0.013000000000000012,0.01100000000000001
mfcc6_var,0.013000000000000012,0.013076696830622033
mfcc5_mean,0.013000000000000012,0.006403124237432854
mfcc20_var,0.013000000000000012,0.009000000000000008
mfcc19_var,0.012500000000000011,0.008440971508067073
tempo,0.01150000000000001,0.010735455276791954
rms_mean,0.01050000000000001,0.011715374513859992
spectral_centroid_mean,0.01050000000000001,0.009069178573608535
mfcc4_var,0.010000000000000009,0.008062257748298557
mfcc9_var,0.010000000000000009,0.013784048752090234
mfcc14_var,0.010000000000000009,0.010000000000000009
mfcc19_mean,0.008500000000000008,0.010012492197250401
mfcc14_mean,0.008500000000000008,0.009500000000000007
mfcc10_mean,0.007500000000000007,0.008440971508067073
spectral_bandwidth_var,0.006500000000000006,0.01050000000000001
mfcc13_var,0.006500000000000006,0.011412712210513336
mfcc17_var,0.006500000000000006,0.013425721582097564
mfcc11_var,0.006500000000000006,0.0039051248379533307
mfcc13_mean,0.0030000000000000027,0.01029563014098701
perceptr_mean,0.0005000000000000004,0.006500000000000006
mfcc15_var,0.0005000000000000004,0.006873863542433766
mfcc2_var,-0.0005000000000000004,0.0072284161474004864
harmony_mean,-0.008500000000000008,0.008077747210701763
